FIPS	STATE	COUNTY
45-051	SC	HORRY
05-059	AR	HOT SPRING
56-017	WY	HOT SPRINGS
26-061	MI	HOUGHTON
01-069	AL	HOUSTON
13-153	GA	HOUSTON
27-055	MN	HOUSTON
47-083	TN	HOUSTON
48-225	TX	HOUSTON
05-061	AR	HOWARD
18-067	IN	HOWARD
19-089	IA	HOWARD
24-027	MD	HOWARD
29-089	MO	HOWARD
31-093	NE	HOWARD
48-227	TX	HOWARD
29-091	MO	HOWELL
27-057	MN	HUBBARD
34-017	NJ	HUDSON
48-229	TX	HUDSPETH
08-055	CO	HUERFANO
40-063	OK	HUGHES
46-065	SD	HUGHES
72-069	PR	HUMACAO
06-023	CA	HUMBOLDT
19-091	IA	HUMBOLDT
32-013	NV	HUMBOLDT
28-053	MS	HUMPHREYS
47-085	TN	HUMPHREYS
48-231	TX	HUNT
34-019	NJ	HUNTERDON
42-061	PA	HUNTINGDON
18-069	IN	HUNTINGTON
26-063	MI	HURON
39-077	OH	HURON
46-067	SD	HUTCHINSON
48-233	TX	HUTCHINSON
37-095	NC	HYDE
46-069	SD	HYDE
22-045	LA	IBERIA
22-047	LA	IBERVILLE
19-093	IA	IDA
16-049	ID	IDAHO
06-025	CA	IMPERIAL
05-063	AR	INDEPENDENCE
12-061	FL	INDIAN RIVER
42-063	PA	INDIANA
26-065	MI	INGHAM
06-027	CA	INYO
26-067	MI	IONIA
26-069	MI	IOSCO
19-095	IA	IOWA
55-049	WI	IOWA
37-097	NC	IREDELL
48-235	TX	IRION
26-071	MI	IRON
29-093	MO	IRON
49-021	UT	IRON
55-051	WI	IRON
17-075	IL	IROQUOIS
13-155	GA	IRWIN
72-071	PR	ISABELA
26-073	MI	ISABELLA
27-059	MN	ISANTI
53-029	WA	ISLAND
51-093	VA	ISLE OF WIGHT
28-055	MS	ISSAQUENA
27-061	MN	ITASCA
28-057	MS	ITAWAMBA
05-065	AR	IZARD
48-237	TX	JACK
01-071	AL	JACKSON
05-067	AR	JACKSON
08-057	CO	JACKSON
12-063	FL	JACKSON
13-157	GA	JACKSON
17-077	IL	JACKSON
18-071	IN	JACKSON
19-097	IA	JACKSON
20-085	KS	JACKSON
21-109	KY	JACKSON
22-049	LA	JACKSON
26-075	MI	JACKSON
27-063	MN	JACKSON
28-059	MS	JACKSON
29-095	MO	JACKSON
37-099	NC	JACKSON
39-079	OH	JACKSON
40-065	OK	JACKSON
41-029	OR	JACKSON
46-071	SD	JACKSON
47-087	TN	JACKSON
48-239	TX	JACKSON
54-035	WV	JACKSON
55-053	WI	JACKSON
51-095	VA	JAMES CITY
13-159	GA	JASPER
17-079	IL	JASPER
18-073	IN	JASPER
19-099	IA	JASPER
28-061	MS	JASPER
29-097	MO	JASPER
45-053	SC	JASPER
48-241	TX	JASPER
18-075	IN	JAY
72-073	PR	JAYUYA
13-161	GA	JEFF DAVIS
48-243	TX	JEFF DAVIS
01-073	AL	JEFFERSON
05-069	AR	JEFFERSON
08-059	CO	JEFFERSON
12-065	FL	JEFFERSON
13-163	GA	JEFFERSON
16-051	ID	JEFFERSON
17-081	IL	JEFFERSON
18-077	IN	JEFFERSON
19-101	IA	JEFFERSON
20-087	KS	JEFFERSON
